OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
1069444,2018-346852          ,THEFT,THEFT MOTOR VEHICLE PARTS,05/19/2018,8700 BLOCK NORTH MOBLEY RD,33556
1055999,2018-206522          ,DUI,DUI (DRIVING UNDER INFLUENCE),03/25/2018,EAGLES ENTRY DR / NINE EAGLES DR,33556
1078910,2018-451717          ,TRAFFIC,Property Damage,06/30/2018,TARPON SPRINGS RD / BLAKE RD,33556
1092103,2018-604188          ,TRAFFIC,Property Damage,08/30/2018,TARPON SPRINGS RD / BOY SCOUT RD,33556
1079700,2018-461245          ,TRAFFIC,Property Damage,07/04/2018,TARPON SPRINGS RD / OAKDALE RD,33556
1099869,2018-687788          ,BATTERY,BATTERY-SIMPLE,10/02/2018,16200 BLOCK ARMISTEAD LN,33556
1075083,2018-268603          ,TRAFFIC,Fatal Injury,06/13/2018,GUNN HW / COPELAND RD,33556
1116119,2018-855607          ,FRAUD,FRAUD-OTHER,12/11/2018,9100 BLOCK ROBERTS RD,33556
1079574,2018-458826          ,THEFT,THEFT VEHICLE & OTHER MOBILE,07/03/2018,8500 BLOCK GUNN HW,33556
1125628,2019-56072           ,TRAFFIC,Property Damage,01/24/2019,TARPON SPRINGS RD / TYLER RD,33556
1135266,2019-162908          ,TRAFFIC,Property Damage,03/07/2019,BOY SCOUT RD / LAKE CHURCH DR,33556
1161672,2019-452882          ,BATTERY,BATTERY-SIMPLE,06/27/2019,6300 BLOCK FITZGERALD RD,33556
1177032,2019-634629          ,TRAFFIC,Property Damage,09/04/2019,BOY SCOUT RD  /  TARPON SPRINGS RD,33556
1186816,2019-744062          ,TRAFFIC,Incapacitating,10/16/2019,GUNN HW  /  VAN DYKE RD,33556
1225044,2020-263073          ,TRAFFIC,Property Damage,04/16/2020,RACE TRACK RD  /  GUNN HW,33556
1229727,2020-319461          ,THEFT,GRAND THEFT - ALL OTHER,05/14/2020,18900 BLOCK GUNN HW,33556
1238340,2020-427320          ,DUI,DUI (DRIVING UNDER INFLUENCE),07/01/2020,GUNN HW  /  VAN DYKE RD,33556
1049590,2018-143877          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,02/27/2018,15600 BLOCK EASTBOURN DR,33556
1074084,2018-399831          ,TRAFFIC,Property Damage,06/09/2018,BECKETT DR / MONTREUX WY,33556
1082674,2018-496646          ,TRAFFIC,Property Damage,07/18/2018,LAKE JAMES RD / NORTH MOBLEY RD,33556
1092186,2018-603131          ,BURGLARY,THEFT FROM A VEHICLE,08/30/2018,18000 BLOCK JORENE RD,33556
1083968,2018-510130          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,07/24/2018,8700 BLOCK GUNN HW,33556
1093394,2018-617186          ,TRAFFIC,Property Damage,09/05/2018,GUNN HW / BONNIE COVE LN,33556
1117307,2018-870945          ,BATTERY,BATTERY-SIMPLE,12/17/2018,16100 BLOCK ARMISTEAD LN,33556
1137991,2019-191834          ,TRAFFIC,Non Incapacitating Injury,03/18/2019,GUNN HW / LUTZ LAKE FERN RD,33556
1131496,2019-122061          ,FRAUD,FRAUD-IMPERSONATION,02/19/2019,19500 BLOCK GUNN HW,33556
1154307,2019-367776          ,BATTERY,BATTERY-SIMPLE,05/26/2019,16100 BLOCK BELLE MEADE BL,33556
1160089,2019-432210          ,TRAFFIC,Property Damage,06/20/2019,GUNN HW  /  NORTH MOBLEY RD,33556
1178048,2019-646618          ,FRAUD,FRAUD-IMPERSONATION,09/09/2019,15000 BLOCK LAKE MAURINE DR,33556
1149770,2019-302024          ,TRAFFIC,Property Damage,05/08/2019,PATTERSON RD/TARPON SPRINGS RD,33556
1188751,2019-762610          ,TRAFFIC,Property Damage,10/24/2019,TARPON SPRINGS RD  /  INDIANA AV,33556
1188768,2019-764040          ,TRAFFIC,Property Damage,10/24/2019,TARPON SPRINGS RD  /  BOY SCOUT RD,33556
1177533,2019-639974          ,TRAFFIC,Property Damage,09/06/2019,BOY SCOUT RD  /  TARPON SPRINGS RD,33556
1180198,2019-672851          ,BURGLARY,BURGLARY RESIDENCE / FORCED,09/18/2019,12200 BLOCK GARDEN LAKE CR,33556
1184085,2019-713809          ,TRAFFIC,Non Incapacitating Injury,10/04/2019,BOY SCOUT RD  /  TROTTING DOWN DR,33556
1185004,2019-723031          ,FRAUD,FRAUD-OTHER,10/08/2019,16400 BLOCK LAKE CHURCH DR,33556
1174725,2019-607594          ,THEFT,PETIT THEFT - ALL OTHER,08/25/2019,17600 BLOCK BANTRY PL,33556
1200258,2019-897813          ,TRAFFIC,Non Incapacitating Injury,12/16/2019,GUNN HW  /  VAN DYKE RD,33556
1245038,2020-509369          ,MISCHIEF,CRIMINAL MISCHIEF FELONY,08/08/2020,15500 BLOCK EASTBOURN DR,33556
1248934,2020-556071          ,THEFT,THEFT VEHICLE & OTHER MOBILE,08/29/2020,GUNN HW  /  TARPON SPRINGS RD,33556
1256362,2020-641726          ,THEFT,THEFT FROM A BUILDING,10/06/2020,17800 BLOCK WAYNE RD,33556
1265141,2020-743868          ,TRAFFIC,Property Damage,11/17/2020,17600 BLOCK GUNN HW,33556
1044592,2018-92479           ,HARASS,HARASSING/OBSCENE,02/07/2018,16100 BLOCK BELLE MEADE BL,33556
1063324,2018-283602          ,TRAFFIC,Non Incapacitating Injury,04/24/2018,GUNN HW / NORTH MOBLEY RD,33556
1065843,2018-310145          ,FRAUD,FRAUD-OTHER,05/04/2018,7400 BLOCK LUTZ LAKE FERN RD,33556
1073122,2018-389491          ,TRAFFIC,Property Damage,06/05/2018,RACE TRACK RD / PATTERSON RD,33556
1045093,2018-97185           ,TRAFFIC,Non Incapacitating Injury,02/09/2018,TARPON SPRINGS RD / PATTERSON RD,33556
