OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
1044300,2018-90594           ,TRAFFIC,Property Damage,02/06/2018,HILLSBOROUGH AV W / TAMPA SHORES BL,33615
1044638,2018-91573           ,ROBBERY,HOME INVASION,02/07/2018,5700 BLOCK DIODORA WY,33615
1045531,2016-683295          ,TRAFFIC,Incapacitating,02/11/2018,SHELDON RD / MOHR RD,33615
1047340,2018-123731          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,02/19/2018,8200 BLOCK DONALDSON DR,33615
1051296,2018-161590          ,DRUGS,DRUG PARAPHERNALIA,03/06/2018,4900 BLOCK HALIFAX DR,33615
1052913,2018-174950          ,THEFT,GRAND THEFT - ALL OTHER,03/12/2018,4900 BLOCK TROYDALE RD,33615
1054001,2018-187340          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,03/17/2018,5900 BLOCK OAK RIVER DR,33615
1054147,2018-189861          ,BATTERY,BATTERY-SIMPLE,03/18/2018,4500 BLOCK CASTAWAY DR,33615
1055810,2018-203531          ,ASSAULT,AGGRAVATED ASSAULT,03/24/2018,7900 BLOCK SINGING COURT PL,33615
1056660,2018-214751          ,TRAFFIC,Non Incapacitating Injury,03/28/2018,TNC BL / HANNA AV W,33615
1057639,2018-224012          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,04/01/2018,7900 BLOCK SIERRA PALM PL,33615
1058701,2018-235745          ,THEFT,THEFT FROM A BUILDING,04/05/2018,10900 BLOCK MEMORIAL HW,33615
1058827,2018-235695          ,THEFT,GRAND THEFT - ALL OTHER,04/05/2018,4600 BLOCK TNC BL,33615
1059806,2018-246824          ,BATTERY,BATTERY-SIMPLE,04/10/2018,7900 BLOCK HILLSBOROUGH AV W,33615
1060596,2018-252172          ,TRAFFIC,Non Incapacitating Injury,04/12/2018,MEMORIAL HW / STILLBROOK AV,33615
1060682,2018-256719          ,DRUGS,DRUG PARAPHERNALIA,04/13/2018,9200 BLOCK HAMILTON AV W,33615
1061658,2018-266267          ,TRAFFIC,Non Incapacitating Injury,04/17/2018,ELLIOT DR / HILLSBOROUGH AV W,33615
1062511,2018-274320          ,TRAFFIC,Property Damage,04/20/2018,JACKSON SPRINGS RD / SHELDON RD,33615
1062700,2018-277024          ,FRAUD,FRAUD-CREDIT CARD,04/21/2018,8300 BLOCK GALEWOOD CR,33615
1063679,2018-287266          ,BATTERY,BATTERY-SIMPLE,04/25/2018,7900 BLOCK WOODVALE CR,33615
1063699,2018-286842          ,THEFT,THEFT MOTOR VEHICLE PARTS,04/25/2018,5100 BLOCK GATEWAY DR,33615
1064423,2018-294009          ,TRAFFIC,Non Incapacitating Injury,04/28/2018,MEMORIAL HW / NORMANDY DR,33615
1065425,2018-304131          ,DRUGS,DRUG TRAFFICKING/DELIVERY,05/02/2018,5100 BLOCK MURRAY HILL DR,33615
1065511,2018-306516          ,DRUGS,DRUG TRAFFICKING/DELIVERY,05/03/2018,TIMBERLANE WEST DR / WESTGATE DR,33615
1066255,2018-314357          ,TRAFFIC,Property Damage,05/06/2018,MOHR RD / SHELDON RD,33615
1066487,2018-317571          ,TRAFFIC,Non Incapacitating Injury,05/07/2018,8800 BLOCK HILLSBOROUGH AV W,33615
