OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
1211128,2020-91587           ,BURGLARY,BURGLARY OTHER STRUCTURE,02/04/2020,5400 BLOCK WEBB RD,33615
1211184,2020-91813           ,FRAUD,FRAUD-CREDIT CARD,02/04/2020,8300 BLOCK SHELDON RD,33615
1211185,2020-91404           ,THEFT,THEFT VEHICLE & OTHER MOBILE,02/04/2020,4800 BLOCK TROYDALE RD,33615
1211186,2020-91404           ,THEFT,THEFT MOTOR VEHICLE PARTS,02/04/2020,4800 BLOCK TROYDALE RD,33615
1211218,2020-91946           ,FRAUD,FRAUD-CREDIT CARD,02/04/2020,9000 BLOCK CLUSTER AV W,33615
1211228,2020-091461          ,TRAFFIC,Property Damage,02/04/2020,TAMPA SHORES BL  /  PARKERS LANDING DR,33615
1211229,2020-93175           ,TRAFFIC,Non Incapacitating Injury,02/04/2020,TNC BL  /  JACKSON SPRINGS RD,33615
1211234,2020-92173           ,TRAFFIC,Property Damage,02/04/2020,8800 BLOCK HILLSBOROUGH AV W,33615
1211261,2020-91773           ,THEFT,PETIT THEFT - ALL OTHER,02/04/2020,10200 BLOCK OASIS PALM DR,33615
1211347,2020-95004           ,TRAFFIC,Property Damage,02/05/2020,SHELDON RD  /  JACKSON SPRINGS RD,33615
1211447,2020-94106           ,BATTERY,BATTERY-SIMPLE,02/05/2020,8800 BLOCK ROBSON ST W,33615
1211459,2020-96076           ,BATTERY,BATTERY-SIMPLE,02/05/2020,6000 BLOCK BEACON ISLES DR,33615
1211460,2020-96533           ,THEFT,THEFT FROM A BUILDING,02/05/2020,6200 BLOCK BEACON ISLES DR,33615
1211461,2020-95065           ,BATTERY,BATTERY-SIMPLE,02/05/2020,6000 BLOCK BEACON ISLES DR,33615
1211522,2020-93958           ,DRUGS,DRUGS/NARCOTICS,02/05/2020,8300 BLOCK WILSKY BL,33615
1211624,2020-97079           ,BATTERY,BATTERY-SIMPLE,02/06/2020,7000 BLOCK CREEK DR E,33615
1211701,2020-97797           ,FRAUD,FRAUD-OTHER,02/06/2020,10000 BLOCK HILLSBOROUGH AV W,33615
1211703,2020-98169           ,BURGLARY,BURGLARY BUSINESS/ FORCED,02/06/2020,8300 BLOCK HILLSBOROUGH AV W,33615
1211749,2020-97217           ,TRAFFIC,Non Incapacitating Injury,02/06/2020,MOHR RD  /  MOHR LP,33615
1211797,2020-99464           ,DRUGS,DRUGS/NARCOTICS,02/06/2020,WEBB RD  /  CRYSTAL HARBOUR DR,33615
1211878,2020-101591          ,TRAFFIC,Non Incapacitating Injury,02/07/2020,LONGBOAT BL W  /  HILLSBOROUGH AV W,33615
1211881,2020-101956          ,TRAFFIC,Non Incapacitating Injury,02/07/2020,TNC BL  /  HILLSBOROUGH AV W,33615
1212023,2020-101872          ,BATTERY,BATTERY-SIMPLE,02/07/2020,8300 BLOCK SHELDON RD,33615
1212069,2020-101615          ,FRAUD,FRAUD-SWINDLE,02/07/2020,8300 BLOCK BAY POINTE DR,33615
1212071,2020-104526          ,DUI,DUI (DRIVING UNDER INFLUENCE),02/08/2020,HILLSBOROUGH AV W  /  ELLIOT DR,33615
1212088,2020-104229          ,THEFT,PETIT THEFT - ALL OTHER,02/08/2020,10300 BLOCK HOBIE CT,33615
1212142,2020-103717          ,ROBBERY,PERSON - ROBBERY,02/08/2020,9100 BLOCK SUFFIELD CT,33615
1212143,2020-103717          ,BATTERY,BATTERY-SIMPLE,02/08/2020,9100 BLOCK SUFFIELD CT,33615
1212190,2020-102965          ,TRAFFIC,Property Damage,02/08/2020,5600 BLOCK FOREST HAVEN CR,33615
