OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
1044386,2018-90915           ,BATTERY,BATTERY-SIMPLE,02/06/2018,2100 BLOCK 142ND AV E,33613
1044512,2018-93250           ,BATTERY,BATTERY-SIMPLE,02/07/2018,2200 BLOCK CEDAR TRACE CR,33613
1047088,2018-118207          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,02/17/2018,3800 BLOCK WOODSPRING LN,33613
1047383,2018-122974          ,THEFT,SHOPLIFTING,02/19/2018,15300 BLOCK NEBRASKA AV N,33613
1048296,2018-131681          ,DRUGS,DRUG TRAFFICKING/DELIVERY,02/22/2018,1000 BLOCK SKIPPER RD,33613
1049023,2018-138998          ,BATTERY,BATTERY-SIMPLE,02/25/2018,14300 BLOCK NEBRASKA AV N,33613
1049298,2018-141331          ,THEFT,THEFT MOTOR VEHICLE PARTS,02/26/2018,200 BLOCK SOUTH PINE DR,33613
1052212,2018-168750          ,TRAFFIC,Non Incapacitating Injury,03/09/2018,FLORIDA AV N / BEARSS AV W,33613
1055959,2018-206165          ,THEFT,PETIT THEFT - ALL OTHER,03/25/2018,1200 BLOCK 142ND AV E,33613
1056849,2018-217429          ,THEFT,SHOPLIFTING,03/29/2018,13500 BLOCK FLORIDA AV N,33613
1057848,2018-227335          ,TRAFFIC,Property Damage,04/02/2018,FLETCHER AV E / 46TH ST N,33613
1057914,2018-226453          ,BATTERY,BATTERY-AGGRAVATED,04/02/2018,13800 BLOCK HERITAGE CLUB DR,33613
1059574,2018-244564          ,TRAFFIC,Property Damage,04/09/2018,FLETCHER AV E / 46TH ST N,33613
1060656,2018-254096          ,BATTERY,BATTERY-SIMPLE,04/12/2018,13700 BLOCK 15TH ST N,33613
1060745,2018-257144          ,TRAFFIC,Non Incapacitating Injury,04/13/2018,BRUCE B DOWNS BL / LAKE FOREST DR,33613
1061615,2018-266191          ,TRAFFIC,Non Incapacitating Injury,04/17/2018,FLETCHER AV E / BRUCE B DOWNS BL,33613
1063596,2018-287104          ,BATTERY,BATTERY-SIMPLE,04/25/2018,13600 BLOCK PLATTE CREEK CR,33613
1064320,2018-294223          ,THEFT,PETIT THEFT - ALL OTHER,04/28/2018,2200 BLOCK CEDAR TRACE CR,33613
1064532,2018-297142          ,DRUGS,DRUGS/NARCOTICS,04/29/2018,BEARSS AV W / WINDING CREEK CT,33613
1065319,2018-303939          ,BATTERY,BATTERY-SIMPLE,05/02/2018,13700 BLOCK GRAGSTON CR,33613
1066275,2018-314382          ,TRAFFIC,Property Damage,05/06/2018,BEARSS AV E / GREGORY DR,33613
1066401,2018-316928          ,TRAFFIC,Property Damage,05/07/2018,BEARSS AV W / HAVEN BN,33613
1067294,2018-325571          ,THEFT,SHOPLIFTING,05/10/2018,15300 BLOCK NEBRASKA AV N,33613
1068359,2018-336662          ,THEFT,PETIT THEFT - ALL OTHER,05/15/2018,13900 BLOCK SANDY HILL LP,33613
1071081,2018-362678          ,DRUGS,DRUGS/NARCOTICS,05/26/2018,MONTEREY PINES DR / CAMBRIDGE WOODS DR,33613
1072850,2018-383564          ,DUI,DUI (DRIVING UNDER INFLUENCE),06/03/2018,2200 BLOCK CEDAR TRACE CR,33613
1072936,2018-386087          ,THEFT,THEFT OF BICYCLE,06/04/2018,2100 BLOCK PINE CHACE CT,33613
1074977,2018-408683          ,THEFT,THEFT FROM A BUILDING,06/13/2018,2200 BLOCK 138TH AV E,33613
1075890,2018-419047          ,DRUGS,DRUGS/NARCOTICS,06/17/2018,1300 BLOCK 137TH AV E,33613
1079952,2018-463885          ,DRUGS,DRUG TRAFFICKING/DELIVERY,07/05/2018,140TH AV E / 15TH ST N,33613
1081741,2018-487574          ,DRUGS,DRUGS/NARCOTICS,07/14/2018,ROME AV N / HAVEN BN,33613
1082591,2018-495183          ,THEFT,THEFT MOTOR VEHICLE PARTS,07/18/2018,13800 BLOCK AZALEA CR,33613
1083550,2018-506075          ,THEFT,SHOPLIFTING,07/22/2018,13600 BLOCK UNIVERSITY PZ,33613
1084380,2018-516725          ,TRAFFIC,Property Damage,07/26/2018,140TH AV E / 12TH ST N,33613
1088339,2018-559042          ,BURGLARY,BURGLARY BUSINESS/NO FORCE,08/13/2018,14800 BLOCK NEBRASKA AV N,33613
1090102,2018-579695          ,BURGLARY,THEFT FROM A VEHICLE,08/21/2018,3800 BLOCK WOODSPRING LN,33613
1090251,2018-582925          ,TRAFFIC,Non Incapacitating Injury,08/22/2018,22ND ST N / 143RD AV E,33613
1094227,2018-626694          ,TRAFFIC,Non Incapacitating Injury,09/08/2018,4200 BLOCK WOODSPRING LN,33613
1096763,2018-654634          ,DRUGS,DRUGS/NARCOTICS,09/19/2018,20TH ST N / 137TH AV E,33613
1098781,2018-674348          ,BATTERY,BATTERY-SIMPLE,09/27/2018,700 BLOCK DEBBIE CR,33613
1099634,2018-684432          ,THEFT,SHOPLIFTING,10/01/2018,13600 BLOCK UNIVERSITY PZ,33613
1103547,2018-725338          ,DRUGS,DRUGS/NARCOTICS,10/17/2018,14600 BLOCK BANYAN BLUFF DR,33613
1104337,2018-734807          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,10/21/2018,14600 BLOCK 42ND ST N,33613
1104718,2018-739822          ,DUI,DUI (DRIVING UNDER INFLUENCE),10/23/2018,BEARSS AV E / SOMERSET PARK DR,33613
1105379,2018-743626          ,DRUGS,DRUGS/NARCOTICS,10/25/2018,143RD AV E / LUCERNE DR,33613
1106441,2018-756188          ,TRAFFIC,Property Damage,10/30/2018,NEBRASKA AV N / 142ND AV E,33613
1108187,2018-776018          ,BATTERY,BATTERY-SIMPLE,11/07/2018,143RD AV E / 15TH ST N,33613
1108356,2018-774838          ,TRAFFIC,Property Damage,11/07/2018,13600 BLOCK 22ND ST N,33613
1108376,2018-776174          ,DRUGS,DRUGS/NARCOTICS,11/07/2018,700 BLOCK BEARSS AV E,33613
1110185,2018-795137          ,DRUGS,DRUGS/NARCOTICS,11/15/2018,4100 BLOCK MONTICELLO GARDENS PL,33613
1110291,2018-795197          ,TRAFFIC,Property Damage,11/15/2018,FLETCHER AV E / 23RD ST N,33613
1114015,2018-836452          ,THEFT,SHOPLIFTING,12/03/2018,15300 BLOCK NEBRASKA AV N,33613
1116886,2018-863025          ,THEFT,PETIT THEFT - ALL OTHER,12/14/2018,14500 BLOCK 46TH ST N,33613
1117676,2018-873931          ,BATTERY,BATTERY-SIMPLE,12/18/2018,14400 BLOCK RENEE CT N,33613
1124738,2019-47533           ,BATTERY,FELONY BATTERY,01/20/2019,13700 BLOCK 19TH ST N,33613
1128482,2019-89684           ,BATTERY,BATTERY-SIMPLE,02/06/2019,3600 BLOCK JEFFERSON COMMONS DR,33613
1129544,2019-100835          ,TRAFFIC,Non Incapacitating Injury,02/11/2019,BRUCE B DOWNS BL / 138TH AV E,33613
1131330,2019-120150          ,THEFT,SHOPLIFTING,02/18/2019,13600 BLOCK UNIVERSITY PZ,33613
1131373,2019-119911          ,TRAFFIC,Property Damage,02/18/2019,46TH ST N / ABBOTT DR,33613
1131376,2019-118250          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,02/18/2019,800 BLOCK WALKER DR,33613
1132352,2019-129598          ,BATTERY,BATTERY-SIMPLE,02/22/2019,14300 BLOCK LUCERNE DR,33613
1132458,2019-131708          ,ROBBERY,PERSON - ROBBERY,02/22/2019,1900 BLOCK 139TH AV E,33613
1135163,2019-159195          ,TRAFFIC,Property Damage,03/06/2019,46TH ST N / SWEETWATER LAKE DR,33613
1137779,2019-187832          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,03/17/2019,1900 BLOCK PINE LOCH TR,33613
1139631,2019-210376          ,BATTERY,BATTERY-SIMPLE,03/26/2019,2100 BLOCK 142ND AV E,33613
1140032,2019-214803          ,THEFT,PETIT THEFT - ALL OTHER,03/28/2019,4200 BLOCK MONTICELLO GARDENS PL,33613
1140630,2019-219462          ,TRAFFIC,Non Incapacitating Injury,03/30/2019,BEARSS AV W / WINDING CREEK CT,33613
1143564,2019-252709          ,TRAFFIC,Property Damage,04/12/2019,WOODWAY DR / WOODCLIFF AV,33613
1143670,2019-254547          ,THEFT,SHOPLIFTING,04/12/2019,15300 BLOCK NEBRASKA AV N,33613
1145711,2019-276449          ,BURGLARY,BURGLARY RESIDENCE / FORCED,04/21/2019,1400 BLOCK 140TH AV E,33613
1146501,2019-284883          ,THEFT,SHOPLIFTING,04/24/2019,2200 BLOCK BEARSS AV E,33613
1148353,2019-307036          ,TRAFFIC,Property Damage,05/02/2019,15TH ST N / 140TH AV E,33613
