OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
863894,2016-90596           ,THEFT,THEFT FROM A BUILDING,02/08/2016,14500 BLOCK VALOR CR,33613
864020,2016-90084           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,02/08/2016,1800 BLOCK BEARSS AV E,33613
864189,2016-93051           ,DRUGS,DRUGS/NARCOTICS,02/09/2016,13900 BLOCK 19TH ST N,33613
865806,2016-110323          ,BURGLARY,BURGLARY RESIDENCE / FORCED,02/16/2016,3100 BLOCK GRAND PAVILION DR,33613
869656,2016-146787          ,DRUGS,DRUGS/NARCOTICS,03/02/2016,22ND ST N / 136TH AV E,33613
870784,2016-157731          ,BURGLARY,THEFT FROM A VEHICLE,03/07/2016,4000 BLOCK ROCKY CR,33613
871425,2016-163612          ,TRAFFIC,Property Damage,03/09/2016,FLETCHER AV E / 22ND ST N,33612
871657,2016-167508          ,BURGLARY,THEFT FROM A VEHICLE,03/10/2016,13900 BLOCK GLOVER PL,33613
874442,2016-195705          ,THEFT,PETIT THEFT - ALL OTHER,03/22/2016,100 BLOCK GARLAND CT,33613
875444,2016-203016          ,DRUGS,DRUGS/NARCOTICS,03/25/2016,1500 BLOCK 140TH AV E,33613
875633,2016-207414          ,DRUGS,DRUGS/NARCOTICS,03/26/2016,19TH ST N / 137TH AV E,33613
879211,2016-242498          ,TRAFFIC,Non Incapacitating Injury,04/09/2016,FLETCHER AV E / 46TH ST N,33613
879228,2016-241952          ,TRAFFIC,Property Damage,04/09/2016,BRUCE B DOWNS BL / BARNHARD DR,33613
879297,2016-242638          ,DRUGS,DRUGS/NARCOTICS,04/09/2016,142ND AV E / 15TH ST N,33613
880399,2016-254956          ,BURGLARY,THEFT FROM A VEHICLE,04/14/2016,4000 BLOCK TUMBLE WOOD TL,33613
884143,2016-288214          ,BURGLARY,THEFT FROM A VEHICLE,04/28/2016,1200 BLOCK BEACON HILL DR,33613
884870,2016-293726          ,BURGLARY,THEFT FROM A VEHICLE,04/30/2016,13600 BLOCK PLATTE CREEK CR,33613
885082,2016-295608          ,DUI,DUI (DRIVING UNDER INFLUENCE),05/01/2016,SKIPPER RD / RAVEN BROOK,33613
885849,2016-304878          ,TRAFFIC,Non Incapacitating Injury,05/04/2016,BRUCE B DOWNS BL / BEARSS AV E,33613
887764,2016-325568          ,BATTERY,BATTERY-SIMPLE,05/12/2016,1800 BLOCK BEARSS AV E,33613
887847,2016-326009          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,05/12/2016,14700 BLOCK NORWOOD OAKS DR,33613
888700,2016-333454          ,BURGLARY,THEFT FROM A VEHICLE,05/16/2016,300 BLOCK WINDWOOD OAKS DR,33613
888803,2016-334926          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,05/16/2016,14600 BLOCK NEBRASKA AV N,33613
888806,2016-334992          ,DRUGS,DRUG PARAPHERNALIA,05/16/2016,GROVE AV E / NEBRASKA AV N,33613
889888,2016-347011          ,DRUGS,DRUGS/NARCOTICS,05/20/2016,1000 BLOCK BRIARWOOD AV,33613
893612,2016-384891          ,THEFT,THEFT OF BICYCLE,06/04/2016,13600 BLOCK UNIVERSITY PZ,33613
896314,2016-411561          ,THEFT,THEFT OF BICYCLE,06/15/2016,800 BLOCK BEARSS AV E,33613
897439,2016-423801          ,THEFT,THEFT VEHICLE & OTHER MOBILE,06/19/2016,700 BLOCK ORANGE AV E,33613
897465,2016-425358          ,FIRE,FIRE INVESTIGATION,06/20/2016,700 BLOCK DEBBIE CR,33613
899208,2016-445670          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,06/27/2016,13600 BLOCK 15TH ST N,33613
899334,2016-443558          ,ROBBERY,CARJACKING,06/27/2016,3400 BLOCK JEFFERSON COMMONS DR,33613
902102,2016-473010          ,BATTERY,BATTERY-SIMPLE,07/08/2016,200 BLOCK WINDWOOD OAKS DR,33613
903974,2016-494735          ,BURGLARY,THEFT FROM A VEHICLE,07/16/2016,14400 BLOCK CARIBBEAN BREEZE DR,33613
905039,2016-508193          ,BATTERY,BATTERY-SIMPLE,07/21/2016,1800 BLOCK FRENCH CREEK RD,33613
905783,2016-513844          ,BURGLARY,BURGLARY OTHER STRUCTURE,07/24/2016,1100 BLOCK SKIPPER RD,33613
907034,2016-525862          ,TRAFFIC,Property Damage,07/29/2016,BRUCE B DOWNS BL / COVE BEND DR,33613
909842,2016-556368          ,BURGLARY,BURGLARY BUSINESS/ FORCED,08/10/2016,2200 BLOCK BEARSS AV E,33613
909868,2016-555976          ,DRUGS,DRUGS/NARCOTICS,08/10/2016,2300 BLOCK CEDAR TRACE CR,33613
912527,2016-585343          ,DRUGS,DRUGS/NARCOTICS,08/21/2016,42ND ST N / ROCKY CR,33613
916397,2016-626793          ,BURGLARY,BURGLARY RESIDENCE / FORCED,09/07/2016,1600 BLOCK 143RD AV E,33613
918375,2016-648274          ,THEFT,SHOPLIFTING,09/16/2016,13600 BLOCK UNIVERSITY PZ,33613
918378,2016-648274          ,DRUGS,DRUG PARAPHERNALIA,09/16/2016,13600 BLOCK UNIVERSITY PZ,33613
921183,2016-675306          ,TRAFFIC,Non Incapacitating Injury,09/27/2016,FLORIDA AV N / BEARSS AV E,33613
923121,2016-694763          ,TRAFFIC,Property Damage,10/05/2016,BRUCE B DOWNS BL / BEARSS AV E,33613
923373,2016-698822          ,BURGLARY,BURGLARY RESIDENCE / FORCED,10/06/2016,1400 BLOCK 140TH AV E,33613
926845,2016-734283          ,BATTERY,BATTERY-SIMPLE,10/21/2016,1200 BLOCK SAND LAKE CR,33613
927140,2016-737324          ,THEFT,THEFT VEHICLE & OTHER MOBILE,10/22/2016,14600 BLOCK BANYAN BLUFF DR,33613
927993,2016-746504          ,BATTERY,BATTERY-SIMPLE,10/26/2016,14700 BLOCK BANYAN BLUFF DR,33613
928076,2016-747472          ,DUI,DUI (DRIVING UNDER INFLUENCE),10/26/2016,FLETCHER AV E / BRUCE B DOWNS BL,33613
929032,2016-756876          ,THEFT,PETIT THEFT - ALL OTHER,10/30/2016,14000 BLOCK NEBRASKA AV N,33613
934694,2016-813157          ,TRAFFIC,Property Damage,11/22/2016,FLORIDA AV N / LAKE MAGDALENE BL,33549
936520,2016-832282          ,TRAFFIC,Property Damage,11/30/2016,BEARSS AV E / 30TH ST N,33613
936523,2016-832128          ,TRAFFIC,Property Damage,11/30/2016,BEARSS AV E / FISHER RD,33613
936543,2016-830925          ,THEFT,THEFT VEHICLE & OTHER MOBILE,11/30/2016,13600 BLOCK 22ND ST N,33613
938332,2016-848883          ,FRAUD,FRAUD-IMPERSONATION,12/07/2016,3100 BLOCK FLETCHER AV E,33613
939351,2016-859823          ,THEFT,SHOPLIFTING,12/11/2016,15300 BLOCK NEBRASKA AV N,33613
